subset,split,code,script,name,family,words,documents,utf8_bytes,utf8_bytes_human,parquet_bytes,parquet_bytes_human,bible_ratio,wiki_ratio
abt_Latn,train,abt,Latn,Ambulas,Sepik,1214742,4098,7193487,6.86MB,2172204,2.07MB,1.000,0.000
abt_Latn,test,abt,Latn,Ambulas,Sepik,7246,33,43055,42.05KB,22567,22.04KB,-,-
abt_Latn_removed,train,abt,Latn,Ambulas,Sepik,-,11096,4505575,4.30MB,1712169,1.63MB,-,-
abx_Latn,train,abx,Latn,Inabaknon,Austronesian,400869,909,1920682,1.83MB,673306,657.53KB,1.000,0.000
abx_Latn,test,abx,Latn,Inabaknon,Austronesian,1312,9,6473,6.32KB,9073,8.86KB,-,-
abx_Latn_removed,train,abx,Latn,Inabaknon,Austronesian,-,6288,3160104,3.01MB,1224928,1.17MB,-,-
aby_Latn,train,aby,Latn,Aneme Wake,Trans-New Guinea,394073,1080,2227052,2.12MB,681883,665.90KB,1.000,0.000
aby_Latn,test,aby,Latn,Aneme Wake,Trans-New Guinea,462,5,2556,2.50KB,7847,7.66KB,-,-
aby_Latn_removed,train,aby,Latn,Aneme Wake,Trans-New Guinea,-,6293,2918790,2.78MB,1060151,1.01MB,-,-
abz_Latn,train,abz,Latn,Abui,Trans-New Guinea,93466,251,441710,431.36KB,184407,180.08KB,0.948,0.000
abz_Latn,test,abz,Latn,Abui,Trans-New Guinea,621,1,2892,2.82KB,17362,16.96KB,-,-
abz_Latn_removed,train,abz,Latn,Abui,Trans-New Guinea,-,26984,2119131,2.02MB,2399767,2.29MB,-,-
aca_Latn,train,aca,Latn,Achagua,Maipurean,127867,172,917644,896.14KB,319207,311.73KB,1.000,0.000
aca_Latn,test,aca,Latn,Achagua,Maipurean,2055,3,14250,13.92KB,15385,15.02KB,-,-
aca_Latn_removed,train,aca,Latn,Achagua,Maipurean,-,5268,1668670,1.59MB,715506,698.74KB,-,-
acd_Latn,train,acd,Latn,Gikyode,Niger-Congo,661837,2546,3102043,2.96MB,1058691,1.01MB,0.999,0.000
acd_Latn,test,acd,Latn,Gikyode,Niger-Congo,7226,20,33336,32.55KB,19146,18.70KB,-,-
acd_Latn_removed,train,acd,Latn,Gikyode,Niger-Congo,-,8241,2702953,2.58MB,1108184,1.06MB,-,-
ace_Latn,train,ace,Latn,Achinese,Austronesian,2454325,2982,13810487,13.17MB,5089329,4.85MB,0.405,0.179
ace_Latn,test,ace,Latn,Achinese,Austronesian,15912,33,90592,88.47KB,42945,41.94KB,-,-
ace_Latn_removed,train,ace,Latn,Achinese,Austronesian,-,465160,349770508,333.57MB,177907244,169.67MB,-,-
acf_Latn,train,acf,Latn,Saint Lucian Creole French,Creole,445892,1013,1904466,1.82MB,751630,734.01KB,0.918,0.002
acf_Latn,test,acf,Latn,Saint Lucian Creole French,Creole,5546,12,23155,22.61KB,17752,17.34KB,-,-
acf_Latn_removed,train,acf,Latn,Saint Lucian Creole French,Creole,-,109107,148425531,141.55MB,42792186,40.81MB,-,-
ach_Latn,train,ach,Latn,Acoli,Nilo-Saharan,1416393,2522,6202296,5.91MB,2526527,2.41MB,0.958,0.000
ach_Latn,test,ach,Latn,Acoli,Nilo-Saharan,16438,32,71687,70.01KB,36781,35.92KB,-,-
ach_Latn_removed,train,ach,Latn,Acoli,Nilo-Saharan,-,36337,25470390,24.29MB,9842891,9.39MB,-,-
acm_Arab,train,acm,Arab,Mesopotamian Arabic,Afro-Asiatic,3239565,7382,29073697,27.73MB,10671966,10.18MB,0.000,0.000
acm_Arab,test,acm,Arab,Mesopotamian Arabic,Afro-Asiatic,39846,65,343872,335.81KB,143411,140.05KB,-,-
acm_Arab_removed,train,acm,Arab,Mesopotamian Arabic,Afro-Asiatic,-,716758,1218878206,1.14GB,354248192,337.84MB,-,-
acn_Latn,train,acn,Latn,Achang,Sino-Tibetan,1283915,715,6268046,5.98MB,2045252,1.95MB,0.867,0.000
acn_Latn,test,acn,Latn,Achang,Sino-Tibetan,19528,3,94024,91.82KB,47708,46.59KB,-,-
acn_Latn_removed,train,acn,Latn,Achang,Sino-Tibetan,-,8385,18435696,17.58MB,6214489,5.93MB,-,-
acr_Latn,train,acr,Latn,Achi,Mayan,923417,2635,3996563,3.81MB,1442157,1.38MB,0.997,0.000
acr_Latn,test,acr,Latn,Achi,Mayan,13524,29,58557,57.18KB,29585,28.89KB,-,-
acr_Latn_removed,train,acr,Latn,Achi,Mayan,-,10732,4919977,4.69MB,1824311,1.74MB,-,-
acu_Latn,train,acu,Latn,Achuar-Shiwiar,Jivaroan,376909,750,2471600,2.36MB,802023,783.23KB,0.987,0.000
acu_Latn,test,acu,Latn,Achuar-Shiwiar,Jivaroan,4025,9,26327,25.71KB,22358,21.83KB,-,-
acu_Latn_removed,train,acu,Latn,Achuar-Shiwiar,Jivaroan,-,8288,5052948,4.82MB,1735680,1.66MB,-,-
ada_Latn,train,ada,Latn,Adangme,Niger-Congo,1346038,1037,5230006,4.99MB,1850537,1.76MB,0.987,0.000
ada_Latn,test,ada,Latn,Adangme,Niger-Congo,12476,11,49055,47.91KB,24322,23.75KB,-,-
ada_Latn_removed,train,ada,Latn,Adangme,Niger-Congo,-,1028,3337079,3.18MB,1227569,1.17MB,-,-
ade_Latn,train,ade,Latn,Adele,Niger-Congo,33560,4,148385,144.91KB,50461,49.28KB,1.000,0.000
ade_Latn,test,ade,Latn,Adele,Niger-Congo,56,1,267,267.00B,5565,5.43KB,-,-
ade_Latn_removed,train,ade,Latn,Adele,Niger-Congo,-,170,2942763,2.81MB,598857,584.82KB,-,-
adh_Latn,train,adh,Latn,Adhola,Nilo-Saharan,9509,23,46165,45.08KB,34466,33.66KB,0.391,0.000
adh_Latn_removed,train,adh,Latn,Adhola,Nilo-Saharan,-,2165,6979429,6.66MB,2011616,1.92MB,-,-
adi_Latn,train,adi,Latn,Adi,Sino-Tibetan,12213,23,68776,67.16KB,36355,35.50KB,0.087,0.000
adi_Latn_removed,train,adi,Latn,Adi,Sino-Tibetan,-,5266,9570996,9.13MB,2381124,2.27MB,-,-
adj_Latn,train,adj,Latn,Adioukrou,Niger-Congo,404997,837,1842825,1.76MB,689453,673.29KB,1.000,0.000
adj_Latn,test,adj,Latn,Adioukrou,Niger-Congo,2982,6,13349,13.04KB,18357,17.93KB,-,-
adj_Latn_removed,train,adj,Latn,Adioukrou,Niger-Congo,-,7438,6499188,6.20MB,1719822,1.64MB,-,-
adl_Latn,train,adl,Latn,Galo,Sino-Tibetan,1492,3,7551,7.37KB,14779,14.43KB,1.000,0.000
adl_Latn_removed,train,adl,Latn,Galo,Sino-Tibetan,-,115,146859,143.42KB,43675,42.65KB,-,-
ady_Cyrl,train,ady,Cyrl,Adyghe,Abkhaz-Adyghe,3135246,6863,41918333,39.98MB,12217195,11.65MB,0.000,0.010
ady_Cyrl,test,ady,Cyrl,Adyghe,Abkhaz-Adyghe,24951,63,337200,329.30KB,112360,109.73KB,-,-
ady_Cyrl_removed,train,ady,Cyrl,Adyghe,Abkhaz-Adyghe,-,26618,69359558,66.15MB,22426263,21.39MB,-,-
adz_Latn,train,adz,Latn,Adzera,Austronesian,110011,107,563350,550.15KB,135002,131.84KB,1.000,0.000
adz_Latn_removed,train,adz,Latn,Adzera,Austronesian,-,200,80004,78.13KB,43472,42.45KB,-,-
aeb_Arab,train,aeb,Arab,Tunisian Arabic,Afro-Asiatic,9889783,19979,87991343,83.92MB,32163422,30.67MB,0.015,0.000
aeb_Arab,test,aeb,Arab,Tunisian Arabic,Afro-Asiatic,67662,174,634108,619.25KB,254888,248.91KB,-,-
aeb_Arab_removed,train,aeb,Arab,Tunisian Arabic,Afro-Asiatic,-,1070041,2461552206,2.29GB,677254562,645.88MB,-,-
aer_Latn,train,aer,Latn,Eastern Arrernte,Australian,52711,43,315394,308.00KB,91410,89.27KB,0.884,0.000
aer_Latn_removed,train,aer,Latn,Eastern Arrernte,Australian,-,701,3807752,3.63MB,1132406,1.08MB,-,-
aeu_Latn,train,aeu,Latn,Akeu,Sino-Tibetan,622908,2793,2690102,2.57MB,800797,782.03KB,0.996,0.000
aeu_Latn,test,aeu,Latn,Akeu,Sino-Tibetan,3656,35,15787,15.42KB,13715,13.39KB,-,-
aeu_Latn_removed,train,aeu,Latn,Akeu,Sino-Tibetan,-,5247,2031941,1.94MB,716193,699.41KB,-,-
aey_Latn,train,aey,Latn,Amele,Trans-New Guinea,484995,403,2487097,2.37MB,719235,702.38KB,0.990,0.000
aey_Latn,test,aey,Latn,Amele,Trans-New Guinea,12689,12,64434,62.92KB,31688,30.95KB,-,-
aey_Latn_removed,train,aey,Latn,Amele,Trans-New Guinea,-,10715,24512427,23.38MB,6335516,6.04MB,-,-
afr_Latn,train,afr,Latn,Afrikaans,Indo-European,1598352868,1992040,8254403024,7.69GB,3653767111,3.40GB,-,-
afr_Latn,test,afr,Latn,Afrikaans,Indo-European,12003072,15138,61872578,59.01MB,28216655,26.91MB,-,-
afr_Latn_removed,train,afr,Latn,Afrikaans,Indo-European,-,10385392,7393308568,6.89GB,4111005549,3.83GB,-,-
agd_Latn,train,agd,Latn,Agarabi,Trans-New Guinea,377755,1111,2075992,1.98MB,673341,657.56KB,1.000,0.000
agd_Latn,test,agd,Latn,Agarabi,Trans-New Guinea,1784,12,9675,9.45KB,17279,16.87KB,-,-
agd_Latn_removed,train,agd,Latn,Agarabi,Trans-New Guinea,-,6970,3188465,3.04MB,1198693,1.14MB,-,-
agg_Latn,train,agg,Latn,Angor,Senagi,537594,934,3757897,3.58MB,1045884,1021.37KB,1.000,0.000
agg_Latn,test,agg,Latn,Angor,Senagi,6460,9,45851,44.78KB,21529,21.02KB,-,-
agg_Latn_removed,train,agg,Latn,Angor,Senagi,-,7175,2726767,2.60MB,1072607,1.02MB,-,-
agm_Latn,train,agm,Latn,Angaataha,Trans-New Guinea,341045,259,2993148,2.85MB,784787,766.39KB,1.000,0.000
agm_Latn,test,agm,Latn,Angaataha,Trans-New Guinea,4165,3,37123,36.25KB,16007,15.63KB,-,-
agm_Latn_removed,train,agm,Latn,Angaataha,Trans-New Guinea,-,67,246114,240.35KB,77595,75.78KB,-,-
agn_Latn,train,agn,Latn,Agutaynen,Austronesian,388528,400,1930814,1.84MB,627808,613.09KB,0.925,0.000
agn_Latn,test,agn,Latn,Agutaynen,Austronesian,1884,3,9476,9.25KB,9006,8.79KB,-,-
agn_Latn_removed,train,agn,Latn,Agutaynen,Austronesian,-,992,3080922,2.94MB,634208,619.34KB,-,-
agr_Latn,train,agr,Latn,Aguaruna,Jivaroan,316961,462,2139038,2.04MB,785901,767.48KB,0.978,0.000
agr_Latn,test,agr,Latn,Aguaruna,Jivaroan,1677,3,11150,10.89KB,13254,12.94KB,-,-
agr_Latn_removed,train,agr,Latn,Aguaruna,Jivaroan,-,4057,16593989,15.83MB,3328363,3.17MB,-,-
agt_Latn,train,agt,Latn,Central Cagayan Agta,Austronesian,85991,160,408366,398.79KB,129575,126.54KB,1.000,0.000
agt_Latn,test,agt,Latn,Central Cagayan Agta,Austronesian,2469,3,11834,11.56KB,9082,8.87KB,-,-
agt_Latn_removed,train,agt,Latn,Central Cagayan Agta,Austronesian,-,604,218272,213.16KB,91569,89.42KB,-,-
agu_Latn,train,agu,Latn,Aguacateco,Mayan,670374,1332,3013391,2.87MB,986615,963.49KB,0.999,0.000
agu_Latn,test,agu,Latn,Aguacateco,Mayan,7012,17,31323,30.59KB,19676,19.21KB,-,-
agu_Latn_removed,train,agu,Latn,Aguacateco,Mayan,-,1098,2198462,2.10MB,573957,560.50KB,-,-
agw_Latn,train,agw,Latn,Kahua,Austronesian,899,1,3818,3.73KB,21048,20.55KB,1.000,0.000
agw_Latn_removed,train,agw,Latn,Kahua,Austronesian,-,291,358192,349.80KB,133464,130.34KB,-,-
agx_Cyrl,train,agx,Cyrl,Aghul,Nakh-Daghestanian,295551,664,3179976,3.03MB,943005,920.90KB,0.003,0.005
agx_Cyrl,test,agx,Cyrl,Aghul,Nakh-Daghestanian,2227,5,25626,25.03KB,16743,16.35KB,-,-
agx_Cyrl_removed,train,agx,Cyrl,Aghul,Nakh-Daghestanian,-,1255,3608710,3.44MB,810927,791.92KB,-,-
aha_Latn,train,aha,Latn,Ahanta,Niger-Congo,123,1,819,819.00B,8051,7.86KB,1.000,0.000
aha_Latn_removed,train,aha,Latn,Ahanta,Niger-Congo,-,59,424114,414.17KB,119278,116.48KB,-,-
ahk_Latn,train,ahk,Latn,Akha,Sino-Tibetan,361414,264,1861852,1.78MB,483003,471.68KB,0.992,0.000
ahk_Latn,test,ahk,Latn,Akha,Sino-Tibetan,1445,2,8240,8.05KB,12701,12.40KB,-,-
ahk_Latn_removed,train,ahk,Latn,Akha,Sino-Tibetan,-,406,2141188,2.04MB,546561,533.75KB,-,-
aia_Latn,train,aia,Latn,Arosi,Austronesian,233811,204,1080170,1.03MB,356160,347.81KB,1.000,0.000
aia_Latn,test,aia,Latn,Arosi,Austronesian,4623,4,20594,20.11KB,20174,19.70KB,-,-
aia_Latn_removed,train,aia,Latn,Arosi,Austronesian,-,194,1435441,1.37MB,449673,439.13KB,-,-
aii_Syrc,train,aii,Syrc,Assyrian Neo-Aramaic,Afro-Asiatic,605697,458,7520389,7.17MB,2063746,1.97MB,0.124,0.013
aii_Syrc,test,aii,Syrc,Assyrian Neo-Aramaic,Afro-Asiatic,5703,7,72146,70.46KB,27913,27.26KB,-,-
aii_Syrc_removed,train,aii,Syrc,Assyrian Neo-Aramaic,Afro-Asiatic,-,3071,8211305,7.83MB,2381710,2.27MB,-,-
aim_Latn,train,aim,Latn,Aimol,Sino-Tibetan,5126,4,27695,27.05KB,23756,23.20KB,0.250,0.000
aim_Latn_removed,train,aim,Latn,Aimol,Sino-Tibetan,-,2479,7252855,6.92MB,2211366,2.11MB,-,-
ain_Latn,train,ain,Latn,Ainu (Japan),Language isolate,28563,19,140994,137.69KB,62203,60.75KB,0.263,0.053
ain_Latn_removed,train,ain,Latn,Ainu (Japan),Language isolate,-,3820,4795731,4.57MB,2236446,2.13MB,-,-
ajg_Latn,train,ajg,Latn,Aja (Benin),Niger-Congo,77642,109,391780,382.60KB,154336,150.72KB,0.853,0.000
ajg_Latn,test,ajg,Latn,Aja (Benin),Niger-Congo,66,1,329,329.00B,5855,5.72KB,-,-
ajg_Latn_removed,train,ajg,Latn,Aja (Benin),Niger-Congo,-,6975,2503363,2.39MB,2460362,2.35MB,-,-
aji_Latn,train,aji,Latn,Ajië,Austronesian,351216,596,1557837,1.49MB,507530,495.63KB,0.997,0.000
aji_Latn,test,aji,Latn,Ajië,Austronesian,5580,8,25013,24.43KB,13308,13.00KB,-,-
aji_Latn_removed,train,aji,Latn,Ajië,Austronesian,-,7547,2216673,2.11MB,931519,909.69KB,-,-
ajz_Latn,train,ajz,Latn,Amri Karbi,Sino-Tibetan,1412,4,6891,6.73KB,14949,14.60KB,0.250,0.000
ajz_Latn_removed,train,ajz,Latn,Amri Karbi,Sino-Tibetan,-,57039,160653913,153.21MB,18193588,17.35MB,-,-
akb_Latn,train,akb,Latn,Batak Angkola,Austronesian,200319,174,1021437,997.50KB,405720,396.21KB,0.011,0.253
akb_Latn,test,akb,Latn,Batak Angkola,Austronesian,1537,2,7292,7.12KB,9051,8.84KB,-,-
akb_Latn_removed,train,akb,Latn,Batak Angkola,Austronesian,-,1239,3996899,3.81MB,1393530,1.33MB,-,-
ake_Latn,train,ake,Latn,Akawaio,Cariban,80073,74,401305,391.90KB,133898,130.76KB,1.000,0.000
ake_Latn_removed,train,ake,Latn,Akawaio,Cariban,-,831,1332812,1.27MB,417363,407.58KB,-,-
akh_Latn,train,akh,Latn,Angal Heneng,Trans-New Guinea,205949,104,997867,974.48KB,271041,264.69KB,1.000,0.000
akh_Latn_removed,train,akh,Latn,Angal Heneng,Trans-New Guinea,-,303,1896621,1.81MB,537314,524.72KB,-,-
akp_Latn,train,akp,Latn,Siwu,Niger-Congo,241519,446,1233280,1.18MB,455569,444.89KB,1.000,0.000
akp_Latn,test,akp,Latn,Siwu,Niger-Congo,4411,8,22406,21.88KB,18636,18.20KB,-,-
akp_Latn_removed,train,akp,Latn,Siwu,Niger-Congo,-,7045,1684460,1.61MB,860856,840.68KB,-,-
alj_Latn,train,alj,Latn,Alangan,Austronesian,587,1,3013,2.94KB,17623,17.21KB,1.000,0.000
alj_Latn_removed,train,alj,Latn,Alangan,Austronesian,-,48568,197325144,188.18MB,39610943,37.78MB,-,-
aln_Latn,train,aln,Latn,Gheg Albanian,Indo-European,388695,569,1880895,1.79MB,895599,874.61KB,0.025,0.000
aln_Latn,test,aln,Latn,Gheg Albanian,Indo-European,961,4,4480,4.38KB,12392,12.10KB,-,-
aln_Latn_removed,train,aln,Latn,Gheg Albanian,Indo-European,-,22679,100195257,95.55MB,25871271,24.67MB,-,-
alp_Latn,train,alp,Latn,Alune,Austronesian,268848,862,1357689,1.29MB,463980,453.11KB,0.998,0.000
alp_Latn,test,alp,Latn,Alune,Austronesian,2489,6,12668,12.37KB,23423,22.87KB,-,-
alp_Latn_removed,train,alp,Latn,Alune,Austronesian,-,7425,2828536,2.70MB,1169940,1.12MB,-,-
alq_Latn,train,alq,Latn,Algonquin,Algic,231047,280,1445553,1.38MB,473270,462.18KB,0.939,0.004
alq_Latn,test,alq,Latn,Algonquin,Algic,1173,3,7359,7.19KB,8922,8.71KB,-,-
alq_Latn_removed,train,alq,Latn,Algonquin,Algic,-,13567,37749072,36.00MB,9215314,8.79MB,-,-
als_Latn,train,als,Latn,Tosk Albanian,Indo-European,3454387059,8597826,19522049281,18.18GB,9038429238,8.42GB,-,-
als_Latn,test,als,Latn,Tosk Albanian,Indo-European,25491405,63178,144088301,137.41MB,68698631,65.52MB,-,-
als_Latn_removed,train,als,Latn,Tosk Albanian,Indo-European,-,6706361,13530206127,12.60GB,5905226439,5.50GB,-,-
alt_Cyrl,train,alt,Cyrl,Southern Altai,Turkic,2905993,1881,30626415,29.21MB,8004083,7.63MB,0.035,0.016
alt_Cyrl,test,alt,Cyrl,Southern Altai,Turkic,36641,34,406567,397.04KB,112901,110.25KB,-,-
alt_Cyrl_removed,train,alt,Cyrl,Southern Altai,Turkic,-,17988,50258617,47.93MB,11503215,10.97MB,-,-
aly_Latn,train,aly,Latn,Alyawarr,Australian,299853,251,1499941,1.43MB,472692,461.61KB,0.992,0.000
aly_Latn,test,aly,Latn,Alyawarr,Australian,2338,2,11593,11.32KB,16221,15.84KB,-,-
aly_Latn_removed,train,aly,Latn,Alyawarr,Australian,-,786,6151071,5.87MB,939337,917.32KB,-,-
alz_Latn,train,alz,Latn,Alur,Nilo-Saharan,446741,623,2115644,2.02MB,848402,828.52KB,0.961,0.000
alz_Latn,test,alz,Latn,Alur,Nilo-Saharan,2393,4,11063,10.80KB,16038,15.66KB,-,-
alz_Latn_removed,train,alz,Latn,Alur,Nilo-Saharan,-,7340,8586062,8.19MB,2932932,2.80MB,-,-
ame_Latn,train,ame,Latn,Yanesha',Maipurean,105208,114,915368,893.91KB,267560,261.29KB,0.956,0.000
ame_Latn,test,ame,Latn,Yanesha',Maipurean,1242,2,10659,10.41KB,7827,7.64KB,-,-
ame_Latn_removed,train,ame,Latn,Yanesha',Maipurean,-,71770,36726493,35.03MB,13863495,13.22MB,-,-
amf_Latn,train,amf,Latn,Hamer-Banna,Afro-Asiatic,59710,76,365738,357.17KB,134969,131.81KB,0.974,0.000
amf_Latn,test,amf,Latn,Hamer-Banna,Afro-Asiatic,477,1,2930,2.86KB,17335,16.93KB,-,-
amf_Latn_removed,train,amf,Latn,Hamer-Banna,Afro-Asiatic,-,4990,10365263,9.89MB,3071043,2.93MB,-,-
amh_Ethi,train,amh,Ethi,Amharic,Afro-Asiatic,239936286,428373,2675147230,2.49GB,889721130,848.50MB,0.010,0.005
amh_Ethi,test,amh,Ethi,Amharic,Afro-Asiatic,2292681,3973,25467074,24.29MB,8583199,8.19MB,-,-
amh_Ethi_removed,train,amh,Ethi,Amharic,Afro-Asiatic,-,2138467,5513028864,5.13GB,2079478167,1.94GB,-,-
ami_Latn,train,ami,Latn,Amis,Austronesian,619045,788,3392290,3.24MB,1406936,1.34MB,0.016,0.749
ami_Latn,test,ami,Latn,Amis,Austronesian,4508,8,34463,33.66KB,22640,22.11KB,-,-
ami_Latn_removed,train,ami,Latn,Amis,Austronesian,-,15873,25932211,24.73MB,8018014,7.65MB,-,-
amk_Latn,train,amk,Latn,Ambai,Austronesian,81212,84,436420,426.19KB,149659,146.15KB,1.000,0.000
amk_Latn,test,amk,Latn,Ambai,Austronesian,1036,1,5517,5.39KB,6449,6.30KB,-,-
amk_Latn_removed,train,amk,Latn,Ambai,Austronesian,-,1000,2743043,2.62MB,853577,833.57KB,-,-
amm_Latn,train,amm,Latn,Ama (Papua New Guinea),Arai (Left May),352907,261,1807422,1.72MB,475255,464.12KB,0.996,0.000
amm_Latn,test,amm,Latn,Ama (Papua New Guinea),Arai (Left May),4443,3,22424,21.90KB,11790,11.51KB,-,-
amm_Latn_removed,train,amm,Latn,Ama (Papua New Guinea),Arai (Left May),-,86,225081,219.81KB,50608,49.42KB,-,-
amn_Latn,train,amn,Latn,Amanab,Border,259431,242,1353906,1.29MB,392345,383.15KB,1.000,0.000
amn_Latn,test,amn,Latn,Amanab,Border,1087,1,5647,5.51KB,6613,6.46KB,-,-
amn_Latn_removed,train,amn,Latn,Amanab,Border,-,821,4404894,4.20MB,707181,690.61KB,-,-
amp_Latn,train,amp,Latn,Alamblak,Sepik,681587,1375,3766694,3.59MB,1367476,1.30MB,0.988,0.000
amp_Latn,test,amp,Latn,Alamblak,Sepik,4382,12,24280,23.71KB,15676,15.31KB,-,-
amp_Latn_removed,train,amp,Latn,Alamblak,Sepik,-,21705,86779359,82.76MB,18967939,18.09MB,-,-
amr_Latn,train,amr,Latn,Amarakaeri,Harákmbut,91867,121,826975,807.59KB,245246,239.50KB,0.975,0.008
amr_Latn_removed,train,amr,Latn,Amarakaeri,Harákmbut,-,40,180947,176.71KB,53544,52.29KB,-,-
amu_Latn,train,amu,Latn,Guerrero Amuzgo,Otomanguean,782789,1122,5477937,5.22MB,1626010,1.55MB,0.993,0.000
amu_Latn,test,amu,Latn,Guerrero Amuzgo,Otomanguean,6709,9,44221,43.18KB,21279,20.78KB,-,-
amu_Latn_removed,train,amu,Latn,Guerrero Amuzgo,Otomanguean,-,6162,2423454,2.31MB,904102,882.91KB,-,-
amx_Latn,train,amx,Latn,Anmatyerre,Australian,90847,61,468962,457.97KB,143912,140.54KB,0.984,0.000
amx_Latn,test,amx,Latn,Anmatyerre,Australian,683,1,3714,3.63KB,20658,20.17KB,-,-
amx_Latn_removed,train,amx,Latn,Anmatyerre,Australian,-,502,3626865,3.46MB,462685,451.84KB,-,-
ang_Latn,train,ang,Latn,Old English (ca. 450-1100),Indo-European,1062583,2001,5752004,5.49MB,2733729,2.61MB,0.000,0.784
ang_Latn,test,ang,Latn,Old English (ca. 450-1100),Indo-European,3775,21,21155,20.66KB,19501,19.04KB,-,-
ang_Latn_removed,train,ang,Latn,Old English (ca. 450-1100),Indo-European,-,95991,227224643,216.70MB,77801446,74.20MB,-,-
anm_Latn,train,anm,Latn,Anal,Sino-Tibetan,2553,2,13986,13.66KB,9824,9.59KB,0.500,0.000
anm_Latn_removed,train,anm,Latn,Anal,Sino-Tibetan,-,2157,39052383,37.24MB,8167610,7.79MB,-,-
ann_Latn,train,ann,Latn,Obolo,Niger-Congo,55311,167,287367,280.63KB,114857,112.17KB,0.096,0.743
ann_Latn_removed,train,ann,Latn,Obolo,Niger-Congo,-,314,376399,367.58KB,166572,162.67KB,-,-
anp_Deva,train,anp,Deva,Angika,Indo-European,27873797,57997,329286779,314.03MB,84196283,80.30MB,0.000,0.003
anp_Deva,test,anp,Deva,Angika,Indo-European,26068,60,307339,300.14KB,99984,97.64KB,-,-
anp_Deva_removed,train,anp,Deva,Angika,Indo-European,-,108966295,527040435468,490.84GB,139411884161,129.84GB,-,-
anv_Latn,train,anv,Latn,Denya,Niger-Congo,85172,65,496452,484.82KB,166606,162.70KB,1.000,0.000
